         14381541 function calls (13341753 primitive calls) in 8.236 seconds

   Ordered by: cumulative time
   List reduced from 429 to 55 due to restriction <55>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    8.356    8.356 colocated.py:75(_worker)
        1    0.030    0.030    8.285    8.285 service.py:2967(execute_dual_clock_run)
   1432/5    0.062    0.000    7.592    1.518 strategy_worker_profile.py:32(timed)
        1    0.329    0.329    5.147    5.147 dual_clock_kernel.py:143(run)
   100000    0.028    0.000    2.520    0.000 service.py:3133(checkpoint_after)
      102    0.004    0.000    2.496    0.024 service.py:4509(_save_dual_clock_checkpoint)
        1    0.000    0.000    1.767    1.767 service.py:4430(_build_cost_sensitivity)
        1    0.004    0.004    1.748    1.748 cost_sensitivity.py:19(build_cost_sensitivity_matrix)
        1    0.161    0.161    1.743    1.743 cost_sensitivity.py:344(_run_dual_scenarios)
    60038    0.027    0.000    1.385    0.000 dataclasses.py:1308(asdict)
      102    0.001    0.000    1.370    0.013 dual_clock_kernel.py:89(snapshot)
      816    0.032    0.000    1.354    0.002 checkpoint_history.py:29(__call__)
794631/60038    0.546    0.000    1.335    0.000 dataclasses.py:1332(_asdict_inner)
   300000    0.796    0.000    1.308    0.000 trade_bar_builder.py:49(push)
      102    0.010    0.000    1.279    0.013 trade_kernel.py:184(snapshot)
    31070    0.039    0.000    1.024    0.000 __init__.py:183(dumps)
   103659    0.040    0.000    0.997    0.000 checkpoint_history.py:97(encode)
    31070    0.023    0.000    0.976    0.000 encoder.py:183(encode)
    18321    0.941    0.000    0.941    0.000 encoder.py:205(iterencode)
     9999    0.046    0.000    0.809    0.000 service.py:3091(strategy)
457781/185950    0.423    0.000    0.765    0.000 copy.py:118(deepcopy)
     5414    0.003    0.000    0.748    0.000 identity.py:10(canonical_json)
      154    0.002    0.000    0.666    0.004 repository.py:18(wrapped)
        1    0.000    0.000    0.635    0.635 service.py:4743(_persist_completed_run)
   113314    0.180    0.000    0.604    0.000 trade_kernel.py:772(_match)
        2    0.261    0.130    0.600    0.300 trades.py:17(assert_trade_stream)
      102    0.023    0.000    0.586    0.006 repository.py:568(save_checkpoint)
        1    0.046    0.046    0.541    0.541 trade_bar_builder.py:153(derive_complete_trade_bars)
        1    0.003    0.003    0.535    0.535 reports.py:49(build_report)
        5    0.013    0.003    0.487    0.097 trade_kernel.py:563(_financial_result)
15451/4440    0.074    0.000    0.426    0.000 copy.py:217(_deepcopy_dict)
     9999    0.037    0.000    0.425    0.000 host_adapter.py:53(observe)
  3093566    0.393    0.000    0.393    0.000 {method 'get' of 'dict' objects}
      204    0.005    0.000    0.359    0.002 checkpoint_codec.py:27(_object_json)
18538/17620    0.008    0.000    0.356    0.000 {method 'join' of 'str' objects}
    14543    0.024    0.000    0.354    0.000 colocated.py:59(invoke)
      102    0.000    0.000    0.353    0.003 checkpoint_codec.py:34(checkpoint_json)
     2040    0.009    0.000    0.349    0.000 checkpoint_codec.py:28(<genexpr>)
      107    0.313    0.003    0.313    0.003 {method 'commit' of 'sqlite3.Connection' objects}
    13314    0.070    0.000    0.290    0.000 trade_kernel.py:848(_fill)
   399996    0.197    0.000    0.278    0.000 trades.py:8(trade_sort_key)
    18875    0.022    0.000    0.271    0.000 trade_kernel.py:623(_enqueue_many)
     9999    0.005    0.000    0.255    0.000 host_adapter.py:88(invoke)
      102    0.006    0.000    0.251    0.002 checkpoint_history.py:134(publish_chunks)
     9994    0.009    0.000    0.250    0.000 protocol.py:143(step)
    13337    0.012    0.000    0.244    0.000 snapshot.py:13(sha256_hex)
    11095    0.093    0.000    0.243    0.000 trade_kernel.py:652(_enqueue)
        7    0.008    0.001    0.242    0.035 copy.py:191(_deepcopy_list)
      310    0.001    0.000    0.235    0.001 __init__.py:299(loads)
      310    0.001    0.000    0.234    0.001 decoder.py:332(decode)
      310    0.231    0.001    0.231    0.001 decoder.py:343(raw_decode)
     9999    0.093    0.000    0.207    0.000 service.py:5172(_planning_context)
    13337    0.004    0.000    0.207    0.000 snapshot.py:9(canonical_json)
     9994    0.034    0.000    0.207    0.000 builtin.py:128(step)
     4438    0.005    0.000    0.202    0.000 reports.py:61(copy_row)


